Link,Địa chỉ,Khoảng giá,Diện tích,Số phòng ngủ,"Số phòng tắm, vệ sinh",Số tầng,Hướng nhà,Hướng ban công,Đường vào,Pháp lý,Nội thất,Latitude,Longitude,Mô tả,Loại đường vào
https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-thuong-hien-phuong-6-13-66/ban-can-ho-dich-vu-tien-doanh-thu-90tr-thang-pr45286134,"Đường Nguyễn Thượng Hiền, Phường 6, Quận Bình Thạnh, Hồ Chí Minh","16,9 tỷ",90 m²,11 phòng,12 phòng,3 tầng,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,10.8083396615452,106.684204967681,"Bán tòa nhà 2 mặt tiền (trước sau) bao gồm 1 mặt bằng kinh doanh riêng biệt và 11 CHDV.
DT 4,1x19 (hậu 5,55) = 90m² công nhận 66m², đúc 4 tấm dòng tiền trên 90tr/ tháng.

Hệ thống PCCC đầy đủ, thang may, ban công sân vườn...
Giá bán 16.9 tỷ (bớt lộc).",Mặt tiền
https://batdongsan.com.vn/ban-nha-rieng-duong-doan-gioi-phuong-son-ky-70/ep-48m2-hiem-khu-aeon-tan-phu-hem-xe-tai-7-cho-e-trong-2-mat-hem-thong-pr45718057,"43/12, Đường Đoàn Giỏi, Phường Sơn Kỳ, Quận Tân Phú, Hồ Chí Minh","5,95 tỷ",48 m²,2 phòng,2 phòng,2 tầng,Đông - Nam,Đông,6 m,Sổ đỏ/ Sổ hồng,Cơ bản,10.7987119735243,106.61347376079,"Nhà đẹp 48m² hiếm khu Aeon Tân Phú - hẻm xe hơi 2 mặt hẻm thông.
Vị trí cực tiện:
* Hẻm thông thoáng, xe hơi 7 chỗ đậu trong nhà.
* Đi bộ siêu thị Aeon Tân Phú.
* Gần chợ, đi bộ ra trường tiểu học, THCS, THPT.
* Gần trường trung học quốc tế lớn.
* Khu dân cư an ninh, yên tĩnh, phù hợp an cư lâu dài.
Thông tin nhà:
* Diện tích: 48m².
* Kết cấu: 1 trệt 1 lầu.
* Nhà 2 mặt hẻm thông thoáng.
* Hướng: Đông Nam mát mẻ.
* Nhà mới xây, thiết kế hiện đại, tối ưu không gian.
Ưu điểm nổi bật:
* Nội thất cơ bản đầy đủ tặng lại toàn bộ cho khách thiện chí.
* Hẻm thông nhưng rất yên tĩnh, dân trí cao.
* Phù hợp ở gia đình hoặc kinh doanh nhỏ.
* Nhà đẹp, chỉ cần dọn vào ở ngay.
Pháp lý:
* Sổ riêng chính chủ.
* Công chứng sang tên nhanh gọn (thủ tục vay ngân hàng dễ dàng).
Liên hệ
0936 324 ***
xem nhà trực tiếp thương lượng tốt cho khách thiện chí.",Hẻm ô tô
https://batdongsan.com.vn/ban-nha-rieng-duong-doan-gioi-phuong-son-ky-70/ep-48m2-hiem-khu-aeon-tan-phu-hem-xe-tai-7-cho-e-trong-2-mat-hem-thong-pr45718057,"43/12, Đường Đoàn Giỏi, Phường Sơn Kỳ, Quận Tân Phú, Hồ Chí Minh","5,95 tỷ",48 m²,2 phòng,2 phòng,2 tầng,Đông - Nam,Đông,6 m,Sổ đỏ/ Sổ hồng,Cơ bản,10.7987119735243,106.61347376079,"Nhà đẹp 48m² hiếm khu Aeon Tân Phú - hẻm xe hơi 2 mặt hẻm thông.
Vị trí cực tiện:
* Hẻm thông thoáng, xe hơi 7 chỗ đậu trong nhà.
* Đi bộ siêu thị Aeon Tân Phú.
* Gần chợ, đi bộ ra trường tiểu học, THCS, THPT.
* Gần trường trung học quốc tế lớn.
* Khu dân cư an ninh, yên tĩnh, phù hợp an cư lâu dài.
Thông tin nhà:
* Diện tích: 48m².
* Kết cấu: 1 trệt 1 lầu.
* Nhà 2 mặt hẻm thông thoáng.
* Hướng: Đông Nam mát mẻ.
* Nhà mới xây, thiết kế hiện đại, tối ưu không gian.
Ưu điểm nổi bật:
* Nội thất cơ bản đầy đủ tặng lại toàn bộ cho khách thiện chí.
* Hẻm thông nhưng rất yên tĩnh, dân trí cao.
* Phù hợp ở gia đình hoặc kinh doanh nhỏ.
* Nhà đẹp, chỉ cần dọn vào ở ngay.
Pháp lý:
* Sổ riêng chính chủ.
* Công chứng sang tên nhanh gọn (thủ tục vay ngân hàng dễ dàng).
Liên hệ
0936 324 ***
xem nhà trực tiếp thương lượng tốt cho khách thiện chí.",Hẻm ô tô
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hoa-vinhomes-green-paradise/quy-ngoai-giao-can-gio-chiet-khau-30-ky-truc-tiep-c-t-lh-pr45658571,"Vinhomes Green Paradise , Xã Long Hòa, Huyện Cần Giờ, Hồ Chí Minh",12 tỷ,155 m²,,,,,,,,,10.385859,106.91994,"Quỹ ngoại giao liền kề, biệt thự song lập, đơn lập VIP Vinhomes Paradise Cần Giờ, ký hợp đồng trực tiếp CĐT.

- Liền kề, shophouse 75m² - 150m². Giá từ 10 tỷ.

- Biệt thự song lập khu đóng, view biển hồ, bãi tắm biển sau nhà. Diện tích 155m² giá 12 tỷ.

- Biệt thự Song lập khu đóng. Diện tích 180m² - 220m², có bãi tắm biển sau nhà: Giá từ 18 tỷ.

- Biệt thự Đơn lập VIP, bãi tắm biển sau nhà, view hồ nước mặn 800ha. Diện tích 308m² - 1000m². Giá từ 28 tỷ.

Chính sách bán hàng siêu khủng:

- Chiết khấu lên đến 30% vào giá bán với quỹ căn có cam kết thuê 5 năm.

- Hỗ trợ vay lên tới 80%, HTLS 0% lên tới 60 tháng.

- Giãn tiến độ thanh toán lên đến 720 ngày.

- Tặng xe điện VF9 cho khách hàng...

Liên hệ tư vấn chọn căn:
0937 996 ***

-------------------------------------------------------
Tổng thể dự án Vinhomes Green Paradise.

- Quy mô 2.870ha: Bao quanh bởi rừng ngập mặn UNESCO, vịnh biển và dải bờ cát trắng trải dài. Dự án ứng dụng mô hình ESG tiên tiến: Năng lượng tái tạo, vật liệu xanh & đô thị thông minh.

- Thiết kế kiến trúc Âu châu sang trọng, tinh xảo, mỗi biệt thự là một tác phẩm nghệ thuật kết hợp hài hòa giữa tinh hoa cổ điển và tiện ích hiện đại.

- Biệt thự biển Cần Giờ không chỉ đơn thuần là nơi ở, mà là biểu tượng quyền lực khẳng định vị thế chủ nhân.

8 điểm nhấn lịch sử của đại đô thị:
- Biển hồ nước mặn nhân tạo 800ha lớn nhất thế giới.
- Tòa tháp biểu tượng 108 tầng (Top 10 thế giới).
- 2 Sân golf 36 hố do Huyền thoại Tiger Woods & Robert Trent Jones thiết kế.
- Bệnh viện Vinmec hợp tác với Cleveland Clinic (Mỹ) quy mô 7.4ha.
- Khu giải trí 122ha: Safari, Công viên nước, Nhà tuyết,...
- Nhà hát lớn nhất ĐNÁ (7ha) & bến cảng du thuyền 5 sao.
- Tuyến đường sắt đô thị tốc độ cao (Phú Mỹ Hưng - Cần Giờ).
- Đón đầu hạ tầng cầu Cần Giờ, nút giao Vành Đai 3, siêu Cảng CG,
Pháp lý vững chắc đã ký HĐMB, Sở hữu lâu dài.
-------------------------------------------------------
Liên hệ em Hưng để được tư vấn chi tiết và chọn căn đẹp nhất, giá tốt nhất dự án ạ!
LH:
0937 996 ***",
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hoa-vinhomes-green-paradise/duy-nhat-can-on-lap-truc-vn92-gia-29-ty-gom-thue-vat-va-phi-bao-tri-gia-bang-can-song-lap-pr45639770,"Vinhomes Green Paradise , Xã Long Hòa, Huyện Cần Giờ, Hồ Chí Minh","26,9 tỷ",293 m²,,,3 tầng,,,,Đang chờ sổ,,21.02894860978742,105.85244722590336,"DUY NHẤT CĂN BIỆT THỰ ĐƠN LẬP TRỤC VN92 GIÁ 29 TỶ GỒM THUẾ VAT VÀ PHÍ BẢO TRÌ GIÁ BẰNG CĂN SONG LẬP
Vinhomes green paradise nơi tinh hoa hội tụ đẳng cấp nhất Cần giờ
dt 293 m² đất
diện tích xây dựng 1 trệt 2 lầu 290m² đất xaay dựng

giá full là 32,6 tỷ gồm thuế vat và phí bảo trì
giá thanh toán sau giảm 9.5 % là 29.8 tỷ gồm thuế vat và phí bảo trì
giá thanh toán chuẩn là 32,5 tỷ gồm thuế
- phương án chuẩn giãn 540 ngày
giá thanh toán vay ngân hàng vốn tự có là 8 tỷ
- phương án ân hạn gốc lãi 18 tháng
- Không cân trả gốc
- không cần trả lãi

hoặc chọn các phương án 24 tháng, 36 tháng , 60 tháng

Gía căn đơn lập mà còn rẻ hơn căn somg lập
căn này nên đầu tư cho dù để ở hay cho thuê kinh doanh đều rất lời và có tài chính mua căn này là hợp lý

Tại vinhomes cần giờ sau khi hình thành metro từ bến thành chỉ 12 phút


Liện hệ ms thảo
0912 212 ***
e Thảo",
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-xien-phuong-long-binh-3-the-manhattan-glory-vinhomes-grand-park/chinh-chu-gui-ban-lo-pho-truc-sinh-23-9-ty-144-m2-so-hong-pr45709145,"The Manhattan Glory - Vinhomes Grand Park, Đường Nguyễn Xiển, Phường Long Bình, Quận 9, Hồ Chí Minh","23,9 tỷ",144 m²,,,5 tầng,Nam,,,Sổ đỏ/ Sổ hồng,,10.8359547395213,106.843016346979,"Chủ kẹt tiền bán lỗ căn nhà phố khu dân cư cao cấp tại Vinhomes Grand Park, phường Long Bình, Hồ Chí Minh. Giá cực tốt! Không có căn thứ 2 toàn dự án.
- Thông tin cơ bản:
- Vị trí: Nằm trên trục nhà phố có công viên dưỡng sinh phía sau, sát trục lớn D2a, gần bến du thuyền. 2 - 3phút di chuyển đến hầu các tiện ích trong Vinhomes Grand Park.
- Diện tích đất: 144m² (8x18).
- Diện tích xây dựng: 498,1m².
- Thiết kế hiện đại 5,5 tầng.
- Hướng cửa chính: Nam, cả ngày k bị nắng, phong thủy tốt.
- Nhà bàn giao hoàn hiện theo tiêu chuẩn của chủ đầu tư.
- Giá bán: 23,9 tỷ VND.
- Pháp lý: Sổ hồng.

Căn nhà phố được thiết kế hiện đại, thông minh, phù hợp với nhu cầu của cuộc sống hiện đại. Nổi bật với không gian xanh mát gần sông, thoáng đãng, mang đến cuộc sống thư giãn và thoải mái. Khu dân cư Vinhomes Grand Park được quy hoạch bài bản, đảm bảo chất lượng sống cao cho cư dân.
Tiện ích nội khu đầy đủ không thiếu gì: Trường học từ mẫu giáo đến cấp 3, gần hệ thống các trường Đại học, bệnh viện, siêu thị, trung tâm thương mại, bank, công viên trung tâm rông 36ha, xung quanh có thêm các công viên bờ sông và công viên nhỏ xen kẽ giữa các phân khu,...
Rất phù hợp để ở, đầu tư,..

Để biết thêm thông tin chi tiết và xem nhà, liên hệ em Lê Anh Thương -
0937 588 ***
.
Chuyên phân phối các sản phẩm chuyển nhượng và trực tiếp từ CĐT Vinhomes.
Địa chỉ VP Kim Điền Holdings: T15 - 38 Vinhomes Grand Park.",
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-long-thanh-my-vinhomes-grand-park/gia-moi-t4-2026-pho-vi-tri-ep-chuyen-nhuong-mua-truc-tiep-c-t-pr45635912,"Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh","36,5 tỷ",333 m²,,,,,,,Sổ đỏ/ Sổ hồng,,10.84037,106.8447,"Chuyên bán biệt thự/nhà phố dự án Vinhomes Grand Park - Quận 9 - Thành phố Thủ Đức.

- Giá tốt nhất, phù hợp với nhu cầu.
- Vị trí đẹp, không lỗi phong thủy.
- Tiềm năng tăng giá cao.
- Thủ tục nhanh gọn, rõ ràng.
* Hiện tại CĐT Vinhomes Grand Park vẫn còn một số căn đa dạng về phương án thanh toán, giá cũng hợp lý - Anh Chị quan tâm sâu Lh
0937 588 ***
em Thương.

* Giỏ hàng chuyển nhượng cập nhật mới nhất Tháng 5 /2026:

1. Nhà phố liền kề:
- Diện tích đất: 84 m | Diện tích xây dựng: 250m | Giá 14.3tỷ.

- Diện tích đất: 96 m | Diện tích xây dựng: 279m | Giá 16,8 tỷ.

- Diện tích đất: 120 m | Diện tích xây dựng: 279m | Giá 17,5 tỷ.

- Diện tích đất: 126 m | Diện tích xây dựng: 445m | Giá 19,5 tỷ.

- Diện tích đất: 144 m | Diện tích xây dựng: 498m | Giá 22 tỷ.

Một số căn giá tốt trí đẹp khác xin liên hệ
0937 588 ***
em Thương.

2. Biệt thự.
- Song lập diện tích đất 200m, 250m, 300m | Giá từ 26,5 tỷ view Vườn hoa, công viên khu Compound, view hồ sen...
- Đơn lập diện tích đất từ 250 - 500m | Giá từ 3x tỷ view sông sau nhà, công viên nhỏ trước nhà, view hồ sen súng...

3. Boutique Villas (dòng biệt thự đơn lập nằm vị trí góc, trục đường lớn đắc địa).
- Diện tích 250m giá 40 tỷ hoàn thiện đang có HĐ Thuê.
- Diện tích 240 m giá 41 tỷ nhà thô vị trí đối diện công viên, đắc địa.
- Diện tích 221 m giá 77,x tỷ hoàn thiện đối diện công viên 36ha, vinwonder.

Anh chị quan tâm gọi
0937 588 ***
gặp em Thương để có thêm thông tin chi tiết.

Công ty Kim Điền Holdings chuyên ký gửi, môi giới mua bán sản phẩm thấp tầng khu Vinhomes Grand Park.
Văn phòng: T15 - 38 The Manhattan Glory, Vinhomes Grand Park - Thủ Đức.",
https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-sa-phuong-11-1-55/tich-san-dong-tien-quan-3-mot-lan-au-tu-ben-vung-cho-nhieu-the-he-pr45685336,"Hẻm 869 , Đường Hoàng Sa, Phường 11, Quận 3, Hồ Chí Minh","9,9 tỷ",38 m²,9 phòng,10 phòng,,Đông - Nam,Đông - Nam,4 m,Sổ đỏ/ Sổ hồng,Đầy đủ,10.7875639139339,106.671253109639,"Đến một độ tuổi nào đó, chúng ta sẽ nhận ra:

Điều quý giá nhất cha mẹ để lại cho con không phải là xe đẹp, hàng hiệu hay một khoản tiền rồi sẽ tiêu dần theo năm tháng.

Mà là một nền tảng tài chính có thể tự tạo ra thu nhập cho nhiều năm sau này.

Một căn nhà tạo ra dòng tiền ổn định mỗi tháng sẽ giúp:

+ Con gái bớt áp lực cơm áo gạo tiền khi lập gia đình.

+ Con trai có điểm tựa để khởi nghiệp.

+ Gia đình luôn có thêm nguồn thu nhập thực mỗi tháng.

Tài sản thực sự không phải là tài sản đẹp để ngắm, mà là tài sản có thể tự sinh ra tiền.

Cơ hội sở hữu nhà dòng tiền tại trung tâm Quận 3

***** Giá bán: từ 12,5 tỷ chủ nhà thiện chí giảm về giá chỉ còn 9,9 tỷ. Mua là lời ngay. Sổ hồng cất két sắt, không vay bank, không tranh chấp, giao dịch ngay

Vị trí trung tâm Quận 3 quỹ đất ngày càng khan hiếm.

Khai thác sẵn: 09 phòng cho thuê cao cấp.

Dòng tiền thực tế: 45 đến 55 triệu/tháng (~600 triệu/năm).

+ Nhà đã sửa hoàn chỉnh, hệ thống vận hành ổn định.

+ Sổ hồng chính chủ, pháp lý rõ ràng.

+ Tiếp quản là nhận dòng tiền ngay, đang khai thác full phòng

Chủ nhà cần cơ cấu lại danh mục đầu tư nên thiện chí chuyển nhượng cho nhà đầu tư giá trị, không chạy theo số đông.

Liên hệ xem nhà và đối soát dòng tiền thực tế: Mr Trí
0968 935 ***
.",
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-thi-nhung-phuong-hiep-binh-phuoc-khu-do-thi-van-phuc-city/hoan-thien-noi-that-cao-cap-dt-6x17m-12-ty-7x17-14-7-ty-5x17-10-7-ty-6x17-10-5-ty-pr24066548,"Khu đô thị Vạn Phúc City, Đường Nguyễn Thị Nhung, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Hồ Chí Minh","17,5 tỷ",85 m²,5 phòng,6 phòng,5 tầng,Đông - Bắc,Đông - Bắc,13 m,Đã có sổ hồng.,Cao cấp.,10.8455916369224,106.717976140987,"Cập nhật giỏ hàng hot những căn bán giá tốt nhất Vạn Phúc City T5/2026:
Nhà phố:
+ Diện tích: 5x17m - 17.5 tỷ nhà 5 tầng, hoàn thiện cao cấp + đối diện Emasi.
+ Diện tích: 5x21m - 22 nhà hoàn thiện + thang máy.
+ Diện tích: 5x23m - 22 tỷ nhà hoàn thiện.
+ Diện tích: 6x17m - 22,5 tỷ hoàn thiện cao cấp.
+ Diện tích: 6x20m - 26 tỷ hoàn thiện cao cấp + đường lớn + view công viên.
+ Diện tích: 7x20m - 30 tỷ Hoàn thiện văn phòng hoặc ở cao cấp.


Shophouse:
+ Đường Nguyễn Thị Nhung: 7x20 giá 38.5 tỷ; 5x20 30 tỷ; 10x20 58 tỷ.
+ Đường Đinh Thị Thi: 7x21 giá 39.5 tỷ; 7x22 có hầm 50 tỷ.

Phố đi bộ:
+ Đường phố đi bộ: 7x20m 7x22 từ 32- 36 tỷ.
+ Đường Đinh Thị Thi: 7x22m giá 56 tỷ mỗi căn.

Sunlake:
+ Đường nội bộ: 7x23 35 tỷ nhà thô; hoàn thiện 39 tỷ.
+ Đường lớn 25m: 7x23 giá 39 tỷ nhà thô.

Pháp lý hoàn chỉnh. Hỗ trợ vay ngân hàng 70%.
Liên hệ: Phường Vạn Phúc:
0988 224 ***
hoặc
0931 080 ***
.
Xem thêm các căn khác tại đây: https://kdtvanphuc.com/ban-nha-van-phuc-city/",
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-13-phuong-hiep-binh-phuoc-khu-do-thi-van-phuc-city/ban-9-2024-gia-tot-nhat-5x20m-gia-16-5-ty-7x20m-gia-26-5-ty-shophouse-26-ty-pr40833403,"Khu đô thị Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Hồ Chí Minh","17,5 tỷ",85 m²,5 phòng,6 phòng,,,,,Sổ đỏ.,Nhà thô.,10.84488,106.7182,"Chương trình Ưu đãi 77 căn hàng VIP vị trí đẹp nhất dự án mua từ CĐT, CK 25% + thanh toán nhanh CK 5%:

- Đa đạng diện tích: 7x20m, 9x20m, góc 10x20m, Shophouse,...
- Vị trí đắc địa nhất dự án, đã có nhà sẵn.
- Thanh toán theo tiến độ
- Pháp lý: đã sổ hồng đã hoàn công - im tâm đầu tư
- Chiết khấu cao.
Liên hệ:
0938 888 ***
(Mr. Đức - Vạn Phúc).
-------------------
Ngoài ra bên em nắm giỏ hàng chuyển nhượng nhà đang bán Vạn Phúc City giá tháng 04/2026:
Nhà phố:
- 5x17m hoàn thiện giá 17,5 tỷ
- 6x17m nhà hoàn thiện giá 22 tỷ.
- 7x20m hoàn thiện, có thang máy, giá 29 tỷ, sổ hồng.
- 5x20m, nhà thô, hoàn thiện giá 19,5 tỷ.
- 9x21m hoàn thiện có thang máy 34,5 tỷ, sổ hồng.

Đường lớn trục chính kinh doanh:
- MT Nguyễn Thị Nhung 5x20m, 6T. Giá 27,5 tỷ.
- MT Nguyễn Thị Nhung 7x20m, 6T. Giá 38 tỷ.
- MT Đinh Thị Thi 7x21m, 5T. Giá 39 tỷ.
- MT Đinh Thị Thi 7x22m, hầm 5T. Giá 48 tỷ.

Khu Sunlake:
- 7x23m đường 50, 52 lộ giới 13m. Giá 36 tỷ, sổ hồng.
-------------------------------------
Pháp lý hoàn chỉnh HĐMB, sổ hồng. Hỗ trợ vay ngân hàng 70%.

Chuyên tư vấn hàng CĐT, chuyển nhượng - cho thuê tại Vạn Phúc City.
Liên hệ:
0938 888 ***
(Mr. Đức - Vạn Phúc).
-----------------------------
Xem chi tiết sản phẩm khác tại: https://khudothivanphuc.vn",
